Stock,Current Price,Previous Close,Volume,Market Cap,Day High,Day Low,52W High,52W Low,1M Return,3M Return,6M Return,RSI,SMA20,SMA50,MACD,ATR,Institutional Score,Confidence,Buy Probability,Composite Score,Trade Signal,Sector,Sector Rank,Sector Percentile,Market Leader,Relative Strength Score,Elite Stock
ANURAS.NS,1376.9,1361.4,185007,156757740818.49976,1379.4000244140625,1353.5999755859375,1415.0,932.7000122070312,5.19,5.0,16.77,63.27,1353.07,1298.82,21.1,36.27,58,55.1,52.34,55.15,HOLD,Unknown,22.0,85.53,NO,9.76,NO
BAJAJFINSV.NS,1772.2,1749.8,541141,2832876354246.4365,1776.5,1726.0,2195.0,1597.0,-4.28,-12.57,-15.43,49.48,1771.41,1766.85,-10.53,41.17,58,55.1,52.34,55.15,HOLD,Unknown,22.0,85.53,NO,-11.23,NO
ATUL.NS,7036.5,7050.0,22893,207166909057.5,7115.0,6938.0,7788.0,5560.5,7.31,5.59,16.11,58.43,6913.52,6567.52,125.15,199.15,58,55.1,52.34,55.15,HOLD,Unknown,22.0,85.53,NO,10.31,NO
AWL.NS,197.4,202.17,1019703,255391609606.8107,200.5,196.63999938964844,286.0,171.19000244140625,4.73,-5.82,-28.67,49.66,201.76,189.12,2.47,6.66,58,55.1,52.34,55.15,HOLD,Unknown,22.0,85.53,NO,-11.8,NO
BLSE.NS,200.54,201.12,240927,18179767992.940567,203.5,195.6300048828125,232.5,124.30000305175781,13.67,21.1,-8.52,64.97,193.57,170.7,6.82,8.53,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,7.02,NO
ALKYLAMINE.NS,1784.3,1766.3,135732,91256334480.86816,1816.4000244140625,1738.0,2438.800048828125,1212.0,21.36,13.19,0.5,65.98,1629.02,1459.59,81.96,85.49,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,10.56,NO
AEROENTER.NS,99.48,100.2,249432,11249696179.618835,100.80000305175781,98.29000091552734,114.80000305175781,62.20000076293945,13.99,21.13,18.56,58.32,97.97,84.44,4.72,5.68,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,17.96,NO
AHLEAST.NS,171.99,160.1,43951,2973998890.026123,172.00999450683594,162.1999969482422,175.3000030517578,127.25,7.41,14.36,22.26,62.52,163.41,158.42,1.17,6.92,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,15.44,NO
BOROSCI.NS,125.11,119.38,150953,11128165479.78897,125.19999694824219,118.87000274658203,190.7899932861328,96.63999938964844,7.65,17.82,-2.89,64.76,117.75,112.46,1.98,5.32,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,6.48,NO
ATALREAL.NS,28.46,28.28,2239119,3526087161.5695953,28.81999969482422,28.260000228881836,29.75,14.65999984741211,13.43,6.55,18.53,64.67,27.48,25.11,0.98,1.06,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,13.41,NO
APCOTEXIND.NS,505.0,508.45,45979,26181704800.0,515.4500122070312,500.1499938964844,559.9000244140625,310.45001220703125,26.08,36.21,25.92,70.79,449.35,397.15,31.27,21.72,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,29.06,NO
AQYLON.NS,60.3,57.44,3336804,15299952574.418945,60.310001373291016,56.70000076293945,1714.9000244140625,39.2599983215332,27.54,-69.63,-49.42,58.39,52.51,59.59,-0.92,3.27,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,-32.4,NO
ANLON.NS,550.0,550.0,0,3165232400.0,0.0,0.0,615.5,335.0,34.47,42.86,37.67,63.07,516.08,428.91,40.13,23.1,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,38.27,NO
ASTEC.NS,746.6,738.75,94816,16635918346.800049,778.6500244140625,724.9000244140625,998.4000244140625,513.4000244140625,6.95,20.05,1.71,59.88,707.67,649.05,17.46,43.71,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,8.78,NO
ARFIN.NS,89.17,89.21,1068633,15044983410.999908,89.88999938964844,85.0,106.19999694824219,31.43000030517578,-7.52,16.14,54.35,44.83,94.33,86.65,0.83,4.82,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,24.33,NO
ASHIANA.NS,376.5,364.45,101394,37847608660.5,384.79998779296875,356.5,389.3999938964844,269.45001220703125,12.84,9.76,26.32,66.31,352.4,327.62,10.81,16.04,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,17.31,NO
BAJAJHLDNG.NS,10423.0,10313.0,25905,1160012254730.0,10462.0,10171.0,14763.0,8588.0,0.91,-6.19,-11.27,55.0,10352.83,9992.66,67.56,299.64,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,-6.09,NO
AMNPLST.NS,196.2,197.33,14918,10794923832.092285,199.77999877929688,193.0,272.0,127.0,21.33,13.73,-0.18,64.84,175.91,161.03,10.06,12.69,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,10.45,NO
BHARTIHEXA.NS,1601.3,1611.6,99482,800650024414.0625,1623.0,1590.0,2052.89990234375,1439.300048828125,2.83,-5.21,-12.79,62.91,1523.62,1533.45,10.57,42.68,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,-5.83,NO
BHAGYANGR.NS,293.35,286.5,143337,9385733445.281982,295.0,272.20001220703125,351.8999938964844,70.20999908447266,36.62,77.53,95.5,59.65,286.32,213.82,27.24,18.37,55,52.25,49.64,52.3,HOLD,Unknown,23.0,82.56,NO,72.44,NO
AUTOIND.NS,84.28,87.82,650872,3824238740.890106,89.48999786376953,83.55999755859375,96.38999938964844,48.349998474121094,26.91,3.13,28.83,64.38,72.83,66.43,4.27,5.92,53,50.35,47.83,50.39,HOLD,Unknown,24.0,79.97,NO,20.54,NO
